ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE546C01010,Piccadily Agro,05/28/2026,Buy,NSE,20,578.05
INE083C01022,Plastiblends India,05/28/2026,Buy,NSE,20,173.41
INE211R01019,Power Mech Projects,05/28/2026,Buy,NSE,10,2436.36
INE488V01015,PSP Projects,05/28/2026,Buy,NSE,5,769.54
INE301A01014,Raymond,05/28/2026,Buy,NSE,5,1614.81
INE1SY401010,Raymond Lifestyle,05/28/2026,Buy,NSE,5,624.55
INE027A01015,RCF,05/28/2026,Buy,NSE,45,157.70
INE020B01018,REC Limited,05/28/2026,Buy,NSE,30,348.92
INE002A01018,Reliance,05/28/2026,Buy,NSE,1,1273.44
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,40,282.82
INE614G01033,Reliance Power,05/28/2026,Buy,NSE,60,43.05
INE440C01016,Saboo Sodium Chloro,05/28/2026,Buy,NSE,300,11.67
INE148I01020,Sammaan Capital,05/28/2026,Buy,NSE,10,186.11
INE062A01020,State Bank of India,05/28/2026,Buy,NSE,1,818.63
INE003A01024,Siemens,05/28/2026,Buy,NSE,1,2824.16
INE103C01036,SMC Global Securities,05/28/2026,Buy,NSE,320,105.93
INE683A01023,South Indian Bank,05/28/2026,Buy,NSE,100,40.11
INE089C01029,Sterlite Technologies,05/28/2026,Buy,NSE,15,590.39
INE754A01055,Subex Limited,05/28/2026,Buy,NSE,1100,30.76
INE947A01014,Sunflag Iron,05/28/2026,Buy,NSE,5,360.57
INE665A01038,Swan Corp,05/28/2026,Buy,NSE,5,429.61
INE00H001014,Swiggy,05/28/2026,Buy,NSE,220,347.44
INE670A01012,Tata Elxsi,05/28/2026,Buy,NSE,5,5636.28
INE672A01026,Tata Investment Corp,05/28/2026,Buy,NSE,5,831.96
INF277KA1984,Tata Silver ETF,05/28/2026,Buy,NSE,50,25.53
