ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE480M01011,Thomas Scott,05/28/2026,Buy,NSE,25,259.17
INE0MWH01014,TruAlt Bioenergy,05/28/2026,Buy,NSE,10,525.24
INE517B01013,Tata Teleservices Maharashtra,05/28/2026,Buy,NSE,100,76.74
INE694A01020,Unitech,05/28/2026,Buy,NSE,1794,7.65
INE1CDF01017,VAML,05/28/2026,Buy,NSE,85,216.13
INE205A01025,Vedanta,05/28/2026,Buy,NSE,50,254.36
INE694L01019,Vedanta Power,05/28/2026,Buy,NSE,50,59.43
INE484C01030,Veedol Corporation,05/28/2026,Buy,NSE,2,1408.52
INE1CLE01013,Visa Steel,05/28/2026,Buy,NSE,250,29.22
INE704J01044,Vogl,05/28/2026,Buy,NSE,50,104.43
INE710A01016,VST Industries,05/28/2026,Buy,NSE,230,284.37
INE764D01017,VST Tillers Tractors,05/28/2026,Buy,NSE,5,4552.73
INE855C01023,Websol Energy System,05/28/2026,Buy,NSE,200,107.57
INE625G01013,Welspun Enterprises,05/28/2026,Buy,NSE,10,495.17
INE731F01037,Welspun Specialty Solutions,05/28/2026,Buy,NSE,44062,41.12
INE274C01019,Wendt India,05/28/2026,Buy,NSE,1,10169.94
INE528G01035,Yes Bank,05/28/2026,Buy,NSE,7300,22.83
