ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE090A01021,ICICI Bank,05/28/2026,Buy,NSE,2,1436.39
INE725G01011,ICRA,05/28/2026,Buy,NSE,2,5946.87
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,13400,8.36
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,69,362.72
INE154A01025,ITC,05/28/2026,Buy,NSE,5,285.56
INE379A01028,ITC Hotels,05/28/2026,Buy,NSE,5,155.12
INE263B01022,Jaysynth Dyestuff,05/28/2026,Buy,NSE,700,13.00
INE351F01018,Jaiprakash Power,05/28/2026,Buy,NSE,100,21.58
INE237A01036,Kotak Mahindra Bank,05/28/2026,Buy,NSE,240,360.23
INE359U01028,Lancer Container Lines,05/28/2026,Buy,NSE,700,29.16
INE0J1Y01017,LIC India,05/28/2026,Buy,NSE,5,410.30
INE802B01027,Linc Pens,05/28/2026,Buy,NSE,203,99.50
INE018A01030,Larsen & Toubro,05/28/2026,Buy,NSE,6,3932.26
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,50,69.55
INE094S01041,Mishtann Foods,05/28/2026,Buy,NSE,2000,7.57
INE943D01017,MPS Limited,05/28/2026,Buy,NSE,1,1808.39
INE095N01031,NBCC,05/28/2026,Buy,NSE,100,100.14
INE0NT901020,Netweb Technologies,05/28/2026,Buy,NSE,5,2596.13
INE848E01016,NHPC,05/28/2026,Buy,NSE,20,87.65
INE470Y01017,New India Assurance,05/28/2026,Buy,NSE,10,212.72
INF204K014N5,Nippon India ETF Nifty 100,05/28/2026,Buy,NSE,50,265.44
INE445D01013,Nile Limited,05/28/2026,Buy,NSE,12,2140.10
INE310A01015,Nilkamal,05/28/2026,Buy,NSE,7,1883.95
INE589A01014,NLC India,05/28/2026,Buy,NSE,20,311.10
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,18094,45.79
