ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE911Z01025,A1 Limited,05/28/2026,Buy,NSE,4000,9.72
INE449C01025,Andrew Yule,05/28/2026,Buy,NSE,633,28.16
INE021A01026,Asian Paints,05/28/2026,Buy,NSE,20,2783.98
INE897N01014,AVI,05/28/2026,Buy,NSE,1000,16.84
INE377Y01014,Bajaj Housing Finance,05/28/2026,Buy,NSE,70,134.15
INE213D01015,Beekay Steel,05/28/2026,Buy,NSE,10,588.77
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,15,412.80
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,8,10234.10
INE257A01026,BHEL,05/28/2026,Buy,NSE,10,404.18
INE264T01014,Capacite Infraprojects,05/28/2026,Buy,NSE,125,359.11
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,1769,8.72
INE227W01023,Clean Science,05/28/2026,Buy,NSE,16,779.05
INE515A01019,Cockerill,05/28/2026,Buy,NSE,28,7337.49
INE935N01020,Dixon Technologies,05/28/2026,Buy,NSE,1,15562.64
INE016M01021,DNA Media,05/28/2026,Buy,NSE,1000,3.13
INE920A01037,Dolphin Offshore,05/28/2026,Buy,NSE,50,372.25
INE532F01054,Edelweiss Financial,05/28/2026,Buy,NSE,600,108.38
INE0G5901015,Epack,05/28/2026,Buy,NSE,20,233.75
INE162A01010,Gujarat Industries Power,05/28/2026,Buy,NSE,5,216.37
INE260B01028,Godfrey Phillips,05/28/2026,Buy,NSE,13,2276.08
INE484J01027,Godrej Properties,05/28/2026,Buy,NSE,40,2239.51
INE0HOQ01053,Groww,05/28/2026,Buy,NSE,20,185.57
INE221H01019,GTL Infrastructure,05/28/2026,Buy,NSE,3000,2.44
INE549A01026,HCC,05/28/2026,Buy,NSE,710,29.96
INE578A01017,Heidelberg Cement,05/28/2026,Buy,NSE,2275,151.48
