ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE814H01029,Adani Power,05/28/2026,Buy,NSE,2050,229.27
INE326B01035,Almondz Global Securities,05/28/2026,Buy,NSE,1000,20.05
INE005B01027,Avantel,05/28/2026,Buy,NSE,1,171.83
INE011E01029,Balu Forge Industries,05/28/2026,Buy,NSE,1,551.15
INE213D01015,Beekay Steel,05/28/2026,Buy,NSE,30,459.14
INE263A01024,Bharat Electronics,05/28/2026,Buy,NSE,40,421.28
INE052T01021,Best Agrolife,05/28/2026,Buy,NSE,300,445.05
INE465A01025,Bharat Forge,05/28/2026,Buy,NSE,5,1738.75
INE838B01021,Bharat Rasayan,05/28/2026,Buy,NSE,16,3319.68
INE257A01026,BHEL,05/28/2026,Buy,NSE,30,413.90
INE736A01011,CDSL,05/28/2026,Buy,NSE,4,1171.33
INE0LMW01024,Cello World,05/28/2026,Buy,NSE,35,549.68
INE345B01019,Cerebra Integrated,05/28/2026,Buy,NSE,36343,8.05
INE515A01019,Cockerill,05/28/2026,Buy,NSE,7,9497.86
INE124G01033,Delta Corp,05/28/2026,Buy,NSE,20,69.98
INE935N01020,Dixon Technologies,05/28/2026,Buy,NSE,2,10438.58
INE255Z01027,E2E Networks,05/28/2026,Buy,NSE,10,403.19
INE1NPP01017,Enrin,05/28/2026,Buy,NSE,2,7371.60
INE0G5901015,Epack,05/28/2026,Buy,NSE,55,360.21
INE861N01036,Genpharma,05/28/2026,Buy,NSE,3000,3.07
INE260B01028,Godfrey Phillips,05/28/2026,Buy,NSE,25,2276.42
INE484J01027,Godrej Properties,05/28/2026,Buy,NSE,23,1834.84
INE0HOQ01053,Groww,05/28/2026,Buy,NSE,40,198.52
INE844O01030,Gujarat Gas,05/28/2026,Buy,NSE,50,323.74
INE066F01020,HAL,05/28/2026,Buy,NSE,4,3780.13
INE040A01034,HDFC Bank,05/28/2026,Buy,NSE,5,802.84
INE578A01017,Heidelberg Cement,05/28/2026,Buy,NSE,550,150.65
INE267A01025,Hindustan Zinc,05/28/2026,Buy,NSE,5,431.26
INE102A01024,HLV Limited,05/28/2026,Buy,NSE,1500,16.27
INE090A01021,ICICI Bank,05/28/2026,Buy,NSE,21,1396.47
INE008A01015,IDBI Bank,05/28/2026,Buy,NSE,50,89.71
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,11500,8.07
INE053A01029,Indian Hotels Company,05/28/2026,Buy,NSE,430,720.65
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,205,477.69
INE565A01014,Indian Overseas Bank,05/28/2026,Buy,NSE,300,35.79
INE154A01025,ITC,05/28/2026,Buy,NSE,115,333.89
INE351F01018,Jaiprakash Power,05/28/2026,Buy,NSE,1700,19.12
INE824G01012,JSW Holdings,05/28/2026,Buy,NSE,3,12441.98
INE197A01024,Jyoti Structures,05/28/2026,Buy,NSE,6000,15.70
INE128R01023,Krettosys,05/28/2026,Buy,NSE,10800,1.24
INE359U01028,Lancer Container Lines,05/28/2026,Buy,NSE,200,16.95
INE0J1Y01017,LIC India,05/28/2026,Buy,NSE,10,414.92
INE802B01027,Linc Pens,05/28/2026,Buy,NSE,150,149.60
INE093R01011,Lloyds Engineering Works,05/28/2026,Buy,NSE,310,71.70
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,100,70.84
INE123F01029,MMTC,05/28/2026,Buy,NSE,50,78.63
INF247L01DJ0,Motilal Oswal Nifty India Defence ETF,05/28/2026,Buy,NSE,50,98.10
INE864I01014,MTAR Technologies,05/28/2026,Buy,NSE,7,5853.97
INE139A01034,National Aluminium,05/28/2026,Buy,NSE,10,189.58
INF204K014N5,Nippon India ETF Nifty 100,05/28/2026,Buy,NSE,45,273.74
INE310A01015,Nilkamal,05/28/2026,Buy,NSE,6,1721.19
INE589A01014,NLC India,05/28/2026,Buy,NSE,50,310.10
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,31900,50.78
INE167E01037,Panchmahal Steel,05/28/2026,Buy,NSE,494,126.62
INE244B01030,Patel Engineering,05/28/2026,Buy,NSE,500,42.10
INE457L01029,PG Electroplast,05/28/2026,Buy,NSE,5,557.31
INE083C01022,Plastiblends India,05/28/2026,Buy,NSE,20,190.85
INE160A01022,Punjab National Bank,05/28/2026,Buy,NSE,100,113.86
INE07Y701011,Hitachi Energy India,05/28/2026,Buy,NSE,1,34321.32
INE004A01022,Protean eGov Technologies,05/28/2026,Buy,NSE,6,1400.79
INE608A01012,Punjab & Sind Bank,05/28/2026,Buy,NSE,300,32.14
INE230R01035,Rama Steel Tubes,05/28/2026,Buy,NSE,700,10.27
INE822D01021,Rasi Electrodes,05/28/2026,Buy,NSE,200,18.25
INE301A01014,Raymond,05/28/2026,Buy,NSE,5,676.09
INE020B01018,REC Limited,05/28/2026,Buy,NSE,85,353.89
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,100,290.68
