ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE00M201021,Sterling and Wilson Renewable,05/28/2026,Buy,NSE,65,302.46
INE694A01020,Unitech,05/28/2026,Buy,NSE,15308,5.98
INE1CDF01017,VAML,05/28/2026,Buy,NSE,40,248.82
INE205A01025,Vedanta,05/28/2026,Buy,NSE,30,341.75
INE694L01019,Vedanta Power,05/28/2026,Buy,NSE,20,87.86
INE1CLE01013,Visa Steel,05/28/2026,Buy,NSE,70,35.98
INE704J01044,Vogl,05/28/2026,Buy,NSE,20,154.39
INE710A01016,VST Industries,05/28/2026,Buy,NSE,20,263.64
INE299N01021,Waaree Renewable Technologies,05/28/2026,Buy,NSE,2,1236.36
INE855C01023,Websol Energy System,05/28/2026,Buy,NSE,50,102.01
INE731F01037,Welspun Specialty Solutions,05/28/2026,Buy,NSE,23556,40.32
INE528G01035,Yes Bank,05/28/2026,Buy,NSE,8200,22.13
INE318D01020,Zenith Steel,05/28/2026,Buy,NSE,7000,8.69
