ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE310A01015,Nilkamal,05/28/2026,Buy,NSE,6,1721.19
INE589A01014,NLC India,05/28/2026,Buy,NSE,50,310.10
INE420C01059,Paisalo Digital,05/28/2026,Buy,NSE,31900,50.78
INE167E01037,Panchmahal Steel,05/28/2026,Buy,NSE,494,126.62
INE244B01030,Patel Engineering,05/28/2026,Buy,NSE,500,42.10
INE457L01029,PG Electroplast,05/28/2026,Buy,NSE,5,557.31
INE083C01022,Plastiblends India,05/28/2026,Buy,NSE,20,190.85
INE160A01022,Punjab National Bank,05/28/2026,Buy,NSE,100,113.86
INE07Y701011,Hitachi Energy India,05/28/2026,Buy,NSE,1,34321.32
INE004A01022,Protean eGov Technologies,05/28/2026,Buy,NSE,6,1400.79
INE608A01012,Punjab & Sind Bank,05/28/2026,Buy,NSE,300,32.14
INE230R01035,Rama Steel Tubes,05/28/2026,Buy,NSE,700,10.27
INE822D01021,Rasi Electrodes,05/28/2026,Buy,NSE,200,18.25
INE301A01014,Raymond,05/28/2026,Buy,NSE,5,676.09
INE020B01018,REC Limited,05/28/2026,Buy,NSE,85,353.89
INE036A01016,Reliance Infrastructure,05/28/2026,Buy,NSE,100,290.68
INE614G01033,Reliance Power,05/28/2026,Buy,NSE,100,45.24
INE263M01029,Rustomjee,05/28/2026,Buy,NSE,20,612.22
INE148I01020,Sammaan Capital,05/28/2026,Buy,NSE,200,144.21
INE964H01014,SEPC Limited,05/28/2026,Buy,NSE,300,14.64
INE721A01047,Shriram Finance,05/28/2026,Buy,NSE,20,606.88
INE003A01024,Siemens,05/28/2026,Buy,NSE,3,4800.69
INE0QSK01017,Siyaram,05/28/2026,Buy,NSE,3000,35.48
INE076B01028,Siyaram Silk Mills,05/28/2026,Buy,NSE,283,924.81
INE754A01055,Subex Limited,05/28/2026,Buy,NSE,500,12.78
