ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE040A01034,HDFC Bank,05/28/2026,Buy,NSE,5,802.84
INE578A01017,Heidelberg Cement,05/28/2026,Buy,NSE,550,150.65
INE267A01025,Hindustan Zinc,05/28/2026,Buy,NSE,5,431.26
INE102A01024,HLV Limited,05/28/2026,Buy,NSE,1500,16.27
INE090A01021,ICICI Bank,05/28/2026,Buy,NSE,21,1396.47
INE008A01015,IDBI Bank,05/28/2026,Buy,NSE,50,89.71
INE669E01016,Vodafone Idea,05/28/2026,Buy,NSE,11500,8.07
INE053A01029,Indian Hotels Company,05/28/2026,Buy,NSE,430,720.65
INE681B01017,Indian Drugs & Medco,05/28/2026,Buy,NSE,205,477.69
INE565A01014,Indian Overseas Bank,05/28/2026,Buy,NSE,300,35.79
INE154A01025,ITC,05/28/2026,Buy,NSE,115,333.89
INE351F01018,Jaiprakash Power,05/28/2026,Buy,NSE,1700,19.12
INE824G01012,JSW Holdings,05/28/2026,Buy,NSE,3,12441.98
INE197A01024,Jyoti Structures,05/28/2026,Buy,NSE,6000,15.70
INE128R01023,Krettosys,05/28/2026,Buy,NSE,10800,1.24
INE359U01028,Lancer Container Lines,05/28/2026,Buy,NSE,200,16.95
INE0J1Y01017,LIC India,05/28/2026,Buy,NSE,10,414.92
INE802B01027,Linc Pens,05/28/2026,Buy,NSE,150,149.60
INE093R01011,Lloyds Engineering Works,05/28/2026,Buy,NSE,310,71.70
INF769K01HP3,Motilal Oswal NASDAQ 100 FOF,05/28/2026,Buy,NSE,100,70.84
INE123F01029,MMTC,05/28/2026,Buy,NSE,50,78.63
INF247L01DJ0,Motilal Oswal Nifty India Defence ETF,05/28/2026,Buy,NSE,50,98.10
INE864I01014,MTAR Technologies,05/28/2026,Buy,NSE,7,5853.97
INE139A01034,National Aluminium,05/28/2026,Buy,NSE,10,189.58
INF204K014N5,Nippon India ETF Nifty 100,05/28/2026,Buy,NSE,45,273.74
