ISIN Code,Enter Full/Partial Stock Name,Date,Transaction Type,Exchange,Qty,Purchase/Sell price per share
INE947A01014,Sunflag Iron,05/28/2026,Buy,NSE,10,358.17
INE586B01026,Taj GVK Hotels,05/28/2026,Buy,NSE,75,328.22
INE670A01012,Tata Elxsi,05/28/2026,Buy,NSE,5,5636.28
INE672A01026,Tata Investment Corp,05/28/2026,Buy,NSE,15,812.43
INE245A01021,Tata Power,05/28/2026,Buy,NSE,720,388.95
INE142M01025,Tata Technologies,05/28/2026,Buy,NSE,10,661.29
INF277KA1984,Tata Silver ETF,05/28/2026,Buy,NSE,1000,22.83
INE621L01012,Texmaco Rail,05/28/2026,Buy,NSE,200,149.35
INE305A01023,Tourism Finance Corp,05/28/2026,Buy,NSE,50,289.01
INE480M01011,Thomas Scott,05/28/2026,Buy,NSE,20,402.09
INE615H01020,Titagarh Rail Systems,05/28/2026,Buy,NSE,5,947.23
INE1TAE01010,TMCV,05/28/2026,Buy,NSE,20,1.00
INE155A01022,Tata Motors PV,05/28/2026,Buy,NSE,20,691.38
INE0MWH01014,TruAlt Bioenergy,05/28/2026,Buy,NSE,160,494.40
INE105A01035,TVS Holdings,05/28/2026,Buy,NSE,1,13557.92
INE694A01020,Unitech,05/28/2026,Buy,NSE,381500,10.75
INE1CDF01017,VAML,05/28/2026,Buy,NSE,30,105.53
INE205A01025,Vedanta,05/28/2026,Buy,NSE,45,262.58
INE694L01019,Vedanta Power,05/28/2026,Buy,NSE,25,59.04
INE484C01030,Veedol Corporation,05/28/2026,Buy,NSE,2,1347.42
INE1CLE01013,Visa Steel,05/28/2026,Buy,NSE,125,29.18
INE932K01015,VMS,05/28/2026,Buy,NSE,1000,23.33
INE704J01044,Vogl,05/28/2026,Buy,NSE,25,103.74
INE710A01016,VST Industries,05/28/2026,Buy,NSE,20,289.23
INE764D01017,VST Tillers Tractors,05/28/2026,Buy,NSE,15,4628.80
